source,title,company,location,remote,salary,posted_at,url,description
Welcome to the Jungle,Product Owner,Alan,Paris,true,60k-72k EUR,2026-07-08T08:10:00Z,https://jobs.example.com/alan/product-owner-paris-001,"Lead backlog prioritization, product discovery workshops, and delivery coordination with engineering squads for a B2C insurance product."
LinkedIn Jobs,Senior Product Manager,Doctolib,Paris,true,70k-85k EUR,2026-07-08T08:20:00Z,https://jobs.example.com/doctolib/senior-pm-paris-002,"Own roadmap for patient experience, define KPIs, run A/B tests, and partner with data, design, and engineering teams."
Indeed,Product Manager (AI Features),Mistral AI,Paris,true,75k-95k EUR,2026-07-08T08:30:00Z,https://jobs.example.com/mistral/product-manager-ai-003,"Drive AI feature strategy, convert user needs into product specs, and deliver LLM-powered workflows with measurable impact."
APEC,Product Owner Payment,Back Market,Paris,false,58k-70k EUR,2026-07-08T08:40:00Z,https://jobs.example.com/backmarket/po-payment-004,"Manage payment domain backlog, align stakeholders, and improve conversion and checkout performance across European markets."
Welcome to the Jungle,Product Manager Growth,BlaBlaCar,Paris,true,65k-80k EUR,2026-07-08T08:50:00Z,https://jobs.example.com/blablacar/pm-growth-005,"Own growth loops from activation to retention, run experiments, and coordinate lifecycle initiatives across marketing and product."
LinkedIn Jobs,Product Owner SaaS Platform,PayFit,Paris,true,62k-76k EUR,2026-07-08T09:00:00Z,https://jobs.example.com/payfit/po-saas-platform-006,"Define platform capabilities, prioritize technical enablers, and ensure reliable delivery for internal product teams."
Indeed,Product Manager B2B,Qonto,Paris,true,68k-82k EUR,2026-07-08T09:10:00Z,https://jobs.example.com/qonto/pm-b2b-007,"Lead B2B roadmap for SMB finance workflows, discover customer pain points, and deliver scalable product increments."
France Travail,Product Owner Data,SNCF Connect,Lille,false,52k-64k EUR,2026-07-08T09:20:00Z,https://jobs.example.com/sncf/po-data-lille-008,"Prioritize data product backlog, coordinate analytics and engineering, and improve reliability of reporting pipelines."
Hellowork,Product Manager Marketplace,ManoMano,Paris,true,66k-81k EUR,2026-07-08T09:30:00Z,https://jobs.example.com/manomano/pm-marketplace-009,"Define marketplace product strategy, optimize seller-buyer matching, and improve trust signals with cross-functional teams."
Talent.io,Product Builder / Product Manager,Swile,Montpellier,true,55k-70k EUR,2026-07-08T09:40:00Z,https://jobs.example.com/swile/product-builder-pm-010,"Ship end-to-end product improvements, combine discovery and execution, and collaborate closely with design and engineering."
